temp_K,intensity
42.4688672168042,9.448329484232356e-108
42.71867966991748,4.6673059218537515e-107
42.96849212303076,2.263139044583235e-106
43.218304576144035,1.0775310977212374e-105
43.468117029257314,5.039165872196297e-105
43.71792948237059,2.315428086890446e-104
43.96774193548387,1.0456305009015449e-103
44.21755438859715,4.642234170056366e-103
44.46736684171043,2.0267602848288077e-102
44.71717929482371,8.704146003577655e-102
44.96699174793699,3.678049585730521e-101
45.216804201050266,1.5296539060551165e-100
45.46661665416354,6.262777213076679e-100
45.71642910727682,2.524936330909548e-99
45.966241560390095,1.0026576353558674e-98
46.216054013503374,3.922657460172258e-98
46.46586646661665,1.5123002305269142e-97
46.71567891972993,5.746822131425304e-97
46.96549137284321,2.153027690582284e-96
47.21530382595649,7.95429143811194e-96
